                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5793,                 2.6015,                 1.6037,                  0.375,                0.43562,                0.40168,                0.22171,                  1.441,                 1.5841,                 1.6393,               0.067524,             0.00032804,             0.00032804
                      2,                 1.3864,                 1.3008,                 1.4315,                0.77278,                0.60354,                0.61918,                0.35024,                 1.3524,                 1.0705,                 1.4915,               0.034517,             0.00065483,             0.00065483
                      3,                  1.314,                 1.0199,                 1.3363,                 0.6433,                0.65013,                0.71701,                0.40764,                 1.3337,                0.86471,                 1.4453,              0.0015041,             0.00097501,             0.00097501
                      4,                 1.2689,                0.87371,                 1.2748,                0.72884,                0.75609,                0.78333,                0.44033,                 1.3237,                0.75874,                  1.416,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.2441,                0.80428,                 1.2422,                0.62378,                0.82361,                 0.7855,                0.45176,                 1.3273,                0.71166,                 1.3972,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.2063,                0.76174,                 1.2391,                0.78792,                0.80622,                0.82964,                0.47818,                 1.3047,                0.69367,                 1.3817,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.1885,                0.73748,                 1.2144,                0.74343,                 0.8414,                0.83723,                0.49161,                 1.2936,                0.66981,                  1.368,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.1828,                0.70801,                 1.2015,                0.77436,                0.84547,                0.85126,                0.50396,                 1.2839,                0.66417,                 1.3675,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.1666,                0.69246,                 1.1979,                0.78261,                0.86786,                0.86996,                0.51337,                 1.2974,                0.64835,                 1.3637,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.1778,                0.70146,                 1.2009,                0.87633,                0.80155,                0.89323,                0.51031,                  1.304,                0.64152,                 1.3759,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.1582,                0.67546,                 1.1873,                0.83307,                0.84595,                0.87832,                0.51292,                 1.3097,                0.64083,                  1.373,               0.000901,               0.000901,               0.000901
                     12,                  1.143,                0.65399,                 1.1852,                0.85322,                0.82992,                0.89421,                0.51528,                 1.3064,                0.63267,                 1.3784,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.1479,                0.65785,                 1.1833,                0.87622,                0.84343,                0.89804,                0.51923,                 1.3007,                0.63314,                 1.3681,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.1214,                0.63488,                 1.1703,                0.80865,                0.86272,                0.89597,                0.52594,                 1.2969,                0.62133,                 1.3719,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.1154,                0.63287,                 1.1675,                0.84233,                0.84593,                0.89905,                0.52548,                 1.3119,                0.61317,                 1.3778,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.1167,                0.62534,                 1.1633,                0.89926,                0.84775,                 0.8998,                0.52486,                 1.3108,                0.61391,                  1.364,              0.0008515,              0.0008515,              0.0008515
                     17,                  1.127,                 0.6329,                 1.1745,                0.81409,                0.83602,                0.88868,                0.51864,                 1.3031,                 0.6233,                 1.3669,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.0963,                0.61165,                 1.1529,                0.75017,                0.83335,                 0.8347,                0.49438,                 1.3262,                0.61813,                 1.3858,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.1077,                0.61005,                 1.1559,                 0.8912,                0.84424,                0.89862,                0.51702,                 1.3112,                0.62335,                  1.381,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.0864,                 0.5949,                 1.1597,                0.78729,                0.87816,                0.87421,                 0.5112,                 1.3056,                0.60279,                 1.3685,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.0788,                0.59291,                 1.1439,                0.83541,                 0.8404,                0.88229,                0.51662,                  1.311,                0.60764,                  1.374,               0.000802,               0.000802,               0.000802
